;ArticleTitle;Question;Answer;Theme column;Fact;Levin_question;Levin_answer;Shingles_question;Shingles_answer;difflib_question;difflib_answer;Levin_count;Shingle_count;difflib_count
0;Abraham Lincoln;Did John C. Breckinridge was beated by Lincoln in the 1860 election?;yes; john c. breckinridge beated lincoln 1860 election;yes;did lincoln beat john c. breckinridge in the 1860 election?;yes;did lincoln beat john c. breckinridge in the 1860 election?;yes;did lincoln beat john c. breckinridge in the 1860 election?;yes;1;1;1
1;Abraham Lincoln;Did Lincoln's political career was started in 1832?;yes; lincoln's political career started 1832;yes;did lincoln start his political career in 1832?;yes;did lincoln start his political career in 1832?;yes;did lincoln start his political career in 1832?;yes;1;1;1
2;Abraham Lincoln;Did the election of 1880 was won by Lincoln?;yes; election 1880 won lincoln;yes;did lincoln win the election of 1860?;yes;did lincoln win the election of 1860?;yes;did lincoln start his political career in 1832?;yes;1;1;1
3;Abraham Lincoln;For what reason the  Emancipation Proclamation was issued by Lincoln?;to free slaves ; reason emancipation proclamation issued lincoln;yes;why did lincoln issue the emancipation proclamation?;to free slaves ;why did lincoln issue the emancipation proclamation?;to free slaves ;did lincoln start his political career in 1832?;yes;1;1;0
4;Abraham Lincoln;Is Lincoln the first President of the United States?;no; lincoln president united states;yes;was abraham lincoln the first president of the united states?;no;was abraham lincoln the first president of the united states?;no;was abraham lincoln the first president of the united states?;no;1;1;1
5;Abraham Lincoln;Was pneumonia a cause of death of Lincoln's mother?;no; pneumonia cause death lincoln's mother;yes;did his mother die of pneumonia?;no;did his mother die of pneumonia?;no;was abraham lincoln the first president of the united states?;no;1;1;1
6;Abraham Lincoln;Was the National Banking Act of 1863 signed by Lincoln?;yes; national banking act 1863 signed lincoln;yes;did lincoln sign the national banking act of 1863?;yes;did lincoln sign the national banking act of 1863?;yes;was abraham lincoln the first president of the united states?;no;1;1;0
7;Abraham Lincoln;When Lincoln's political career was started?;1832; lincoln's political career started;yes;did lincoln start his political career in 1832?;yes;did lincoln start his political career in 1832?;yes;was abraham lincoln the first president of the united states?;no;0;0;0
8;Alessandro Volta;Did Austria rule Lombard before 1796?;yes; austria rule lombard 1796;yes;before 1796, was lombardy ruled by austria?;yes;before 1796, was lombardy ruled by austria?;yes;was abraham lincoln the first president of the united states?;no;1;1;0
9;Alessandro Volta;Did electricity was Volta's passion?;yes; electricity volta's passion;yes;is it true that his passion been always the study of electricity?;yes;did volta have a passion for the study of electricity?;yes;was abraham lincoln the first president of the united states?;no;1;1;0
10;Alessandro Volta;In what perio was Lombardy under the rule of Napoleon?;from 1796 to 1815; perio lombardy rule napoleon;yes;when did lombardy come under napoleon`s rule?;from 1796 to 1815;"[""was lombardy under napoleon's rule in 1800?""]";yes;was abraham lincoln the first president of the united states?;no;1;0;0
11;Alessandro Volta;Is Como the place where Volta burried?;yes; como place volta burried;yes;is volta buried in the city  of como?;yes;is volta buried in the city  of como?;yes;was abraham lincoln the first president of the united states?;no;1;1;0
12;Alessandro Volta;Was Copley Medal given to Volta?;yes; copley medal given volta;yes;did he receive the society`s 1794 copley medal?;yes;did he receive the society`s 1794 copley medal?;yes;was abraham lincoln the first president of the united states?;no;1;1;0
13;Alessandro Volta;Was Volta's wife a Count Ludovico Perepgini's daughter?;yes; volta's wife count ludovico perepgini's daughter;yes;who made volta a count?;napoleon;is it true that volta married the daughter of count ludovico peregrini?;yes;was abraham lincoln the first president of the united states?;no;0;1;0
14;Alessandro Volta;What subject was passion of Volta?;electricity; subject passion volta;yes;his passion been always the study of what?;electricity;did volta have a passion for the study of electricity?;yes;was abraham lincoln the first president of the united states?;no;1;0;0
15;Alessandro Volta;Who was Alessandro Volta?;physisist; alessandro volta;yes;in what year did he become a professor of physics at the royal school in como?;1774;who did alessandro volta marry?;alessandro volta married teresa peregrini.;was abraham lincoln the first president of the united states?;no;0;0;0
16;Amedeo Avogadro;Did Avogadro become a professor in 1820?;yes; avogadro become professor 1820;yes;did he become a professor before the revolutionary movements against the king of sardinia?;yes;when did he become a professor?;1820;was abraham lincoln the first president of the united states?;no;1;0;0
17;Amedeo Avogadro;Was homage paid by  King Victor Emmanuel III to Avogadro?;yes; homage paid king victor emmanuel iii avogadro;yes;was king victor emmanuel iii there to pay homage to avogadro ?;yes;was king victor emmanuel iii there to pay homage to avogadro ?;yes;was abraham lincoln the first president of the united states?;no;1;1;0
18;Amedeo Avogadro;What year Avogadro became a professor?;1820; year avogadro professor;yes;did he become a professor before the revolutionary movements against the king of sardinia?;yes;where was avogadro a professor of physics?;university of turin;was abraham lincoln the first president of the united states?;no;0;0;0
19;Amedeo Avogadro;When another Avogadro's memoria was published?;1821; another avogadro's memoria published;yes;when did he publish another memoria?;1821;when did he publish another memoria?;1821;was abraham lincoln the first president of the united states?;no;1;1;0
20;Amedeo Avogadro;Did Avogadro's work was published?;yes; avogadro's work published;yes;in what language was his 1811 paper published?;french;"[""who was avogadro's wife?""]";felicita mazz;was abraham lincoln the first president of the united states?;no;0;0;0
21;Amedeo Avogadro;First Avogadro's name?;amedeo; avogadro's;yes;what would a german call avogadro's number?;loschmidt number;"[""who was avogadro's wife?""]";felicita mazz;was abraham lincoln the first president of the united states?;no;0;0;0
22;Amedeo Avogadro;Have Avogadro ever lived in England?;no; avogadro lived england;yes;did avogadro live in england?;no;did avogadro live in england?;no;did avogadro live in england?;no;1;1;1
23;Amedeo Avogadro;Last Avogadro's name?;avogadro; avogadro's;yes;what would a german call avogadro's number?;loschmidt number;"[""who was avogadro's wife?""]";felicita mazz;did avogadro live in england?;no;0;0;0
24;Amedeo Avogadro;Was North America a Avogadro's birthplace?;no; north america avogadro's birthplace;yes;what was amedeo avogadro`s birthplace?;turin;what was amedeo avogadro`s birthplace?;turin;did avogadro live in england?;no;0;0;1
25;Amedeo Avogadro;Where Avogadro taught physics?;university of turin; avogadro taught physics;yes;in 1820, avogadro became a professor of physics where?;university of turin;where was avogadro a professor of physics?;university of turin;did avogadro live in england?;no;1;1;0
26;Amedeo Avogadro;Where Avogadro ws born?;turin; avogadro ws born;yes;was amedeo avogadro was born in turin?;yes;what is avogadro most noted for?;contributions to the theory of molarity and molecular weight;did avogadro live in england?;no;0;0;0
27;Amedeo Avogadro;Who was Avogadro?;professor of physics; avogadro;yes;did he become a professor before the revolutionary movements against the king of sardinia?;yes;what is avogadro most noted for?;contributions to the theory of molarity and molecular weight;did avogadro live in england?;no;0;0;0
28;Anders Celsius;Is it true that Anders Celsius was a Swedish astronomer?;yes; true anders celsius swedish astronomer;yes;was anders celsius  ( november 27 ,  1701  april 25 ,  1744  ) a swedish  astronomer?;yes;was anders celsius (november 27, 1701 april 25, 1744) a swedish astronomer?;yes;did avogadro live in england?;no;1;1;0
29;Anders Celsius;Is it true that Celsius was born in Uppsala in Sweden?;yes; true celsius born uppsala sweden;yes;was celsius born in uppsala in sweden?;yes;was celsius born in uppsala in sweden?;yes;did avogadro live in england?;no;1;1;0
30;Anders Celsius;Is it true that the Celsius crater on the Moon named after him ?;yes; true celsius crater moon named;yes;is the celsius crater on the moon named after him?;yes;is the celsius crater on the moon named after him?;yes;did avogadro live in england?;no;1;1;0
31;Anders Celsius;Is Uppsala in Sweden a Celsius's homelad?;yes; uppsala sweden celsius's homelad;yes;was celsius born in uppsala in sweden?;yes;was celsius born in uppsala in sweden?;yes;did avogadro live in england?;no;1;1;0
32;Anders Celsius;Was Celsius' collection published in 1738?;no; celsius' collection published 1738;yes;is it true that he published a collection in 1738?;no;is it true that he published a collection in 1738?;no;did avogadro live in england?;no;1;1;1
33;Anders Celsius;When Celsius' collection was published ?;1733; celsius' collection published;yes;he published a collection of what?;observations;he published a collection of what?;observations;did avogadro live in england?;no;0;0;0
34;Anders Celsius;Did Celsius taught in Uppsala University?;yes; celsius taught uppsala university;yes;was he professor at uppsala university?;yes;was he professor at uppsala university?;yes;did avogadro live in england?;no;1;1;0
